osm_way_id,name,highway_class,footway_tag,width_m,surface,district,length_m
1495583966,,footway,,,concrete,South,15
1495583967,,footway,,,concrete,South,13
1495583968,,footway,,,concrete,South,13
1495583969,,footway,,,concrete,South,13
1495583970,,footway,,,concrete,South,12
1495583971,,footway,,,concrete,South,14
1495583972,,footway,,,concrete,South,15
1495583973,,footway,,,concrete,South,17
1495583974,,footway,,,concrete,South,9
1495583975,,footway,,,concrete,South,21
1495583976,,footway,,,concrete,South,20
1495583977,,footway,,,concrete,South,10
1495583978,,footway,,,concrete,South,17
1495583979,,footway,,,concrete,South,19
1495583980,,footway,,,concrete,South,10
1495583981,,footway,,,concrete,South,21
1495583982,,footway,,,concrete,South,19
1495583983,,footway,,,concrete,South,15
1495583984,,footway,,,concrete,South,24
1495927934,,footway,,,,East,64
1498334852,,footway,,,,New Delhi,646
1498334853,,footway,,,,Central,1243
1498334854,,footway,,,,New Delhi,3
1498334855,,footway,,,,Central,8
1498334856,,footway,,,,Central,7
1498625609,,footway,crossing,,,East,28
1498625941,,footway,,,,East,5
1498625942,,footway,,,,East,7
1498628163,,footway,crossing,,,East,32
1498733851,,footway,sidewalk,,,East,399
1498733852,,footway,sidewalk,,,East,399
1498733853,,footway,sidewalk,,,East,879
1498733855,,footway,sidewalk,,,East,258
1501255920,,footway,,,,South-West,9
1501255921,,footway,,,,South-West,34
1501255923,,footway,,,,South-West,20
1502797234,,footway,,,,New Delhi,12
1502797235,,footway,,,,New Delhi,18
1502839489,,footway,,,,South-East,82
1502839490,,footway,,,,South-East,18
1502839491,,footway,,,,South-East,47
1502840232,,footway,,,,New Delhi,46
1505108750,,footway,sidewalk,,,South,153
1505108751,,footway,sidewalk,,,South,10
1505108752,,footway,sidewalk,,,South,10
1505108753,,footway,sidewalk,,,South,3
1505956132,,footway,crossing,,,New Delhi,7
1505956133,,footway,crossing,,,New Delhi,8
1505956134,,footway,crossing,,,New Delhi,9
1505956135,,footway,crossing,,,New Delhi,9
1505981094,,footway,,,,South,21
1506813900,,footway,,,,South-West,20
1506813901,,footway,,,,South-West,66
1506813903,,footway,,,,South-West,71
1506813908,,footway,,,,South-West,13
1508111823,,footway,,,,New Delhi,15
1508111824,,footway,,,,New Delhi,31
1508111825,,footway,,,,New Delhi,9
1509679095,,footway,crossing,,,New Delhi,10
1509679096,,footway,crossing,,,New Delhi,10
1509679097,,footway,crossing,,,New Delhi,13
1509679098,,footway,crossing,,,New Delhi,12
1509679099,,footway,crossing,,,New Delhi,13
1509679100,,footway,crossing,,,New Delhi,11
1509679101,,footway,crossing,,,New Delhi,11
1509679102,,footway,crossing,,,New Delhi,10
1509679103,,footway,crossing,,,New Delhi,9
1509738976,FOB 2,footway,,,paving_stones,South-East,35
1510452184,,footway,,,,South-East,112
1510452185,,footway,,,,South-East,15
1510452186,,footway,,,,South-East,74
1510452187,,footway,,,,South-East,52
1510452188,,footway,,,,South-East,153
1510452189,,footway,,,,South-East,63
1510932406,,footway,traffic_island,,,South-East,23
1510932407,,footway,crossing,,,South-East,4
1510932408,,footway,crossing,,,South-East,11
1511284559,,footway,,,,South-East,36
1511284564,,footway,sidewalk,,,South-East,54
1511284565,,footway,sidewalk,,,South-East,295
1511284566,,footway,sidewalk,,,South-East,212
1511288732,,footway,,,,South-West,194
1511443224,,footway,,,,South-West,139
1511443686,,footway,,,,South-West,50
1511443691,,footway,,,,South-West,19
1511459077,,footway,,,,South-West,42
1511545729,,footway,sidewalk,,,South-West,4
1511545730,,footway,sidewalk,,,South-West,4
1511545733,,footway,,,,South-West,13
1511545734,,footway,crossing,,,South-West,7
1511768362,,footway,,,,South-West,84
1511768365,,footway,,,,South-West,31
1511768369,,footway,,,,South-West,79
1512065001,,footway,,,,South-East,84
1512065002,,footway,,,,South-East,473
1512065003,,footway,,,,South-East,54
1512065004,,footway,,,,South-East,31
1512065005,,footway,,,,South-East,74
1512453767,,footway,crossing,,,South,8
1512453769,,footway,crossing,,,South,25
1512453770,,footway,crossing,,,South,33
1512453773,,footway,,,,South-East,9
1512453774,,footway,,,,South-East,9
1512453775,,footway,sidewalk,,,South-East,279
1512453779,,footway,traffic_island,,,South,3
1512453780,,footway,traffic_island,,,South,16
1512453781,,footway,crossing,,,South,13
1512453782,,footway,,,,South,60
1512453784,,footway,crossing,,,South,9
1512453785,,footway,traffic_island,,,South,4
1514031649,,footway,,,,New Delhi,33
1514031650,,footway,,,,New Delhi,96
1514031651,,footway,crossing,,,New Delhi,12
1514368511,,footway,,,,South,67
1514368512,,footway,,,,South,17
1514368513,,footway,,,,South,63
1514379109,,footway,,,,New Delhi,2
1514379110,,footway,,,,New Delhi,2
1514379112,,footway,,,,New Delhi,26
1514712234,,footway,crossing,,,New Delhi,8
1514712235,,footway,crossing,,,New Delhi,8
1514712236,,footway,crossing,,,New Delhi,7
1514712237,,footway,crossing,,,New Delhi,7
1514712238,,footway,crossing,,,New Delhi,6
1514712239,,footway,crossing,,,New Delhi,6
1514712242,,footway,,,,New Delhi,38
1514833513,,footway,,,,New Delhi,10
1514833514,,footway,,,,New Delhi,8
1514833515,,footway,,,,New Delhi,6
1514833516,,footway,,,,New Delhi,4
1514833517,,footway,,,,New Delhi,4
1514833518,,footway,,,,New Delhi,5
1514833519,,footway,,,,New Delhi,2
1514833520,,footway,,,,New Delhi,2
1514833521,,footway,crossing,,,New Delhi,8
1514833522,,footway,,,,New Delhi,1
1514833523,,footway,,,,New Delhi,3
1514833525,,footway,,,paving_stones,New Delhi,29
1514833526,,footway,crossing,,,New Delhi,7
1514833527,,footway,,,,New Delhi,11
1514833528,,footway,,,,New Delhi,16
1514833530,,footway,,,,New Delhi,13
1514833531,,footway,,,,New Delhi,24
1514833532,,footway,,,,New Delhi,21
1514833534,,footway,,,,New Delhi,13
1514833535,,footway,,,,New Delhi,9
1514833538,,footway,crossing,,,New Delhi,10
1514833539,,footway,,,,New Delhi,3
1514833540,,footway,,,,New Delhi,3
1514833541,,footway,,,,New Delhi,1
1514833542,,footway,,,,New Delhi,11
1514833543,,footway,,,,New Delhi,5
1514833544,,footway,crossing,,,New Delhi,9
1514833545,,footway,,,,New Delhi,2
1514833546,,footway,,,,New Delhi,9
1514833547,,footway,crossing,,,New Delhi,9
1514833548,,footway,,,,New Delhi,12
1514833552,,footway,,,,New Delhi,3
1514833555,,footway,,,,New Delhi,6
1514833556,,footway,crossing,,,New Delhi,9
1514833558,,footway,,,,New Delhi,12
1514833560,,footway,,,,New Delhi,16
1514833561,,footway,,,,New Delhi,16
1515262344,,footway,,,,South,9
1515262345,,footway,,,,South,17
1515262346,,footway,,,,South,110
1515946594,,footway,,,,South,403
1516000897,,footway,crossing,,,South-West,13
1516000898,,footway,,,,New Delhi,23
1516000902,,footway,crossing,,,South-West,36
1516000904,,footway,crossing,,,South-West,18
1516185081,,footway,,,,South,2
1516185082,,footway,,,,South,6
1516185083,,footway,,,paving_stones,South,23
1516185085,,footway,,,,South,9
1517281989,,footway,,,,South,7
1517281990,,footway,sidewalk,,,South,508
1517281991,,footway,sidewalk,,,South,185
1517281992,,footway,sidewalk,,,South,169
1524881658,,footway,,,,South-East,11
1524881661,,footway,,,,South-East,26
1525999604,,footway,sidewalk,,,South,440
1525999605,,footway,,,,South,463
1528060546,,footway,crossing,,,South-West,12
1528060547,,footway,crossing,,,South-West,29
1528060548,,footway,crossing,,,South-West,10
1528060549,,footway,crossing,,,South-West,25
1528337557,,footway,sidewalk,,,Central,253
1528337558,,footway,,,,Central,89
1528337559,,footway,crossing,,,New Delhi,25
1528337562,,footway,,,,Central,9
1528483022,,footway,,,,South-East,51
1528858865,,footway,crossing,,,East,9
1528858869,,footway,crossing,,,East,32
1528858880,,footway,crossing,,,East,9
1529660137,,footway,crossing,,,South-East,31
1530542081,,footway,crossing,,,South,10
1530542082,,footway,crossing,,,South,14
1530542083,,footway,crossing,,,South,12
1530870646,,footway,,,paving_stones,South,70
1530870647,,footway,,,paving_stones,South,72
1530870648,,footway,,,paving_stones,South,44
1530870654,,footway,,,paving_stones,South,53
1530870659,,footway,,,paving_stones,South,19
1530870660,,footway,,,paving_stones,South,5
1530870661,,footway,,,paving_stones,South,13
1530870665,,footway,,,paving_stones,South,19
1530870668,,footway,,,paving_stones,South,77
1530870669,,footway,,,paving_stones,South,56
1530870670,,footway,,,paving_stones,South,18
1530969756,,footway,,,,East,51
1531825674,,footway,,,concrete,New Delhi,175
1531890362,,footway,sidewalk,,,New Delhi,27
1531890367,,footway,,,paving_stones,New Delhi,87
1531890369,,footway,,,rock,New Delhi,5
1531890370,,footway,,,paving_stones,New Delhi,36
1531890371,,footway,,,paving_stones,New Delhi,96
1532896600,,footway,,,paving_stones,South,148
1532896607,,footway,,,paving_stones,South,47
1532896613,,footway,,,paving_stones,South,15
1532896617,,footway,,,paving_stones,South,39
1533060169,,footway,crossing,,,New Delhi,27
1534594166,,footway,,,,East,104
1534594167,,footway,,,,East,133
1534629268,,footway,,,unhewn_cobblestone,East,151
1534629269,,footway,,,,East,22
1534629270,,footway,,,,East,20
1534629271,,footway,,,,East,7
1534629272,,footway,,,,East,11
1534629273,,footway,,,,East,23
1534629274,,footway,,,,East,4
1534629275,,footway,,,,East,4
1534629277,,footway,,,,East,5
1536745608,,footway,,,,South-West,2
1536745609,,footway,,,,South-West,5
1536745610,,footway,,,,South,13
1536745612,,pedestrian,,,,South,65
1536745613,,footway,,,,South,100
1536745614,,footway,,,,South-West,4
1536745615,,footway,,,,South,21
1536745616,,footway,,,,South,4
1536745617,,footway,,,,South,10
1536745618,,footway,,,,South,9
1537427633,,footway,,,,South,17
1537427639,,footway,,,,South,56
1538136910,,footway,crossing,,,South,9
1539011442,,footway,crossing,,,South,9
1539961409,Churi Wali Gali,footway,,,,West,47
1540032340,,footway,,1,dirt,South-West,28
1540032341,,footway,,1,dirt,South-West,10
1540032342,,footway,,1,dirt,South-West,20
1540032343,,footway,,0.8,concrete,South-West,54
1540032344,,footway,,0.8,concrete,South-West,6
1540189939,,footway,crossing,,,New Delhi,7
1540189940,,footway,crossing,,,New Delhi,9
1541039432,,footway,,0.5,concrete,South-West,82
1541039433,,footway,,0.5,concrete,South-West,9
1541039434,,footway,,0.5,concrete,South-West,8
1541039435,,footway,,1,paved,South-West,9
1541039439,,footway,,0.5,concrete,South-West,0
1541060802,,footway,,0.5,dirt,South-West,4
1541278192,,footway,,,,South-East,11
1541278193,,footway,,,,South-East,12
1541303251,,footway,,,metal,South-West,17
1541306546,,footway,,,,South-East,65
1541306547,,footway,,,concrete,South-East,57
1541306548,,footway,,,,South-East,6
1543018513,,footway,,,,South,88
1543216009,,pedestrian,,,,South-East,15
1543216010,,footway,,,,South-East,21
1543216011,,pedestrian,,,,South-East,12
1543216013,,footway,,,,South-East,7
1543216014,,footway,,,,South-East,8
