ward,ward_no,area_sq_km,mapped_pct,residential_km2,residential_pct,commercial_km2,commercial_pct,industrial_km2,industrial_pct,institutional_km2,institutional_pct,green_open_km2,green_open_pct,other_km2,other_pct
MADIPUR,104,0.579,7.5,0.039,6.7,0,0,0.003,0.5,0.002,0.4,0,0,0,0
RAJENDER NAGAR,149,4.358,30.1,1.285,29.5,0,0,0.011,0.3,0.014,0.3,0.002,0,0,0
R. K. PURAM,167,2.303,10.1,0.206,9,0.009,0.4,0,0,0.013,0.6,0.004,0.2,0,0
SAFDARJANG ENCLAVE,163,3.681,8,0.208,5.7,0.079,2.1,0,0,0,0,0.008,0.2,0,0
HAUZ KHAS,164,2.297,10.8,0.06,2.6,0.003,0.1,0,0,0.184,8,0,0,0,0
KOTLA MUBARAKPUR,158,1.37,17.1,0.158,11.5,0.071,5.2,0,0,0.005,0.3,0,0,0,0
MANGLAPURI,130,2.452,14,0.343,14,0,0,0,0,0,0,0,0,0,0
MANGOL PURI  NORTH,38,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGORE GARDEN,106,0.825,3.7,0,0,0.031,3.7,0,0,0,0,0,0,0,0
LADOSARAI,169,6.403,6.2,0.318,5,0.031,0.5,0.003,0.1,0.013,0.2,0.03,0.5,0.001,0
NARELA,1,20.294,14.3,1.925,9.5,0.036,0.2,0.887,4.4,0,0,0.048,0.2,0.009,0
BHALASWA JAHAGIR PUR,5,13.122,12.1,0.925,7,0,0,0.462,3.5,0,0,0.201,1.5,0.004,0
BURARI,7,17.349,48.1,0.165,1,0,0,0.131,0.8,0,0,8.054,46.4,0,0
PATPARGANJ,220,1.558,29.5,0.413,26.5,0.036,2.3,0,0,0.007,0.4,0.004,0.3,0.001,0.1
PANDAV NAGAR,224,1.776,15.4,0.009,0.5,0,0,0.091,5.1,0,0,0.173,9.8,0,0
KISHAN KUNJ,221,1.374,21.7,0,0,0,0,0,0,0,0,0.022,1.6,0.276,20.1
DHARAMPURA,233,1.156,8.9,0,0,0.071,6.1,0.01,0.9,0,0,0.022,1.9,0,0
NEW USMANPUR,251,1.954,30.8,0,0,0,0,0,0,0.051,2.6,0.003,0.1,0.548,28.1
BHAJANPURA,253,1.173,16.7,0,0,0,0,0,0,0,0,0,0,0.196,16.7
NEHRU VIHAR,267,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0
SAID UL AJAIB,177,6.528,4.1,0,0,0,0,0.057,0.9,0,0,0,0,0.211,3.2
SANGAM VIHAR,178,2.568,0,0,0,0,0,0,0,0,0,0,0,0,0
MEHRAULI,170,2.982,1,0.029,1,0,0,0,0,0,0,0.001,0,0,0
SANGAM VIHAR WEST,186,2.799,0.7,0,0,0,0,0,0,0,0,0.02,0.7,0,0
TIGRI,179,2.077,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAKIR NAGAR,205,2.72,6.9,0.13,4.8,0,0,0,0,0,0,0.014,0.5,0.044,1.6
NAJAFGARH,138,1.999,15.7,0.243,12.1,0.024,1.2,0,0,0,0,0.037,1.9,0.009,0.5
JAHANGIR PURI -II,20,0.757,26.7,0.201,26.5,0,0,0.002,0.2,0,0,0,0,0,0
KUNWAR SINGH NAGAR,121,6.531,7.4,0.481,7.4,0,0,0,0,0,0,0,0,0,0
VIKAS NAGAR,124,2.383,53.7,1.147,48.1,0.059,2.5,0,0,0.029,1.2,0.032,1.3,0.013,0.6
VIKAS PURI,123,1.742,12.4,0.175,10.1,0,0,0.016,0.9,0.024,1.4,0,0,0,0
MAHAVIR NAGAR,113,1.286,67.9,0.873,67.9,0,0,0,0,0,0,0,0,0,0
DARYAGANJ,153,5.137,42.2,0.501,9.7,0.296,5.8,0.924,18,0.28,5.5,0.11,2.1,0.055,1.1
BALJIT NAGAR,93,0.388,4.2,0,0,0,0,0.016,4.2,0,0,0,0,0,0
NILOTHI,32,4.034,26,0,0,0,0,0.926,22.9,0,0,0,0,0.124,3.1
PRATAP VIHAR,36,1.108,0,0,0,0,0,0,0,0,0,0,0,0,0
PREM NAGAR,33,0.79,4.8,0,0,0,0,0,0,0,0,0,0,0.038,4.8
SHASTRI NAGAR,73,1.44,4.2,0.046,3.2,0,0,0,0,0,0,0.014,0.9,0,0
VISHNU GARDEN,107,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0
TUKHMIR PUR,270,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJ NAGAR,142,0.235,24.6,0,0,0,0,0,0,0,0,0.034,14.5,0.024,10.1
