rank,name,road,simple,fatal,total,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,lat,lng,x,y,district,geocodeSource,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
30,Archana Cinema Red Light,Josef Broz Tito Marg,2,5,7,2024,false,false,,,,false,,,,false,,,,false,,,,true,0,3,3,false,,,,,,,,,,,unresolved,30,Archana Cinema Red Light,5,2,7,,,unresolved,
31,Sarai Kale Khan,Ring Road,16,4,20,2024,true,true,8,2,10,false,,,,true,3,1,4,true,4,3,7,true,9,1,10,true,7,3,10,,,28.587,77.261,764.5,552.1,South-East,matched to 2023 geocoded zone by name,31,Sarai Kale Khan,4,16,20,28.587,77.261,matched to 2023 geocoded zone by name,
32,Kashmiri Gate Chowk Boulevard Road,Boulevard Road,14,4,18,2024,false,true,8,4,12,false,,,,false,,,,false,,,,false,,,,true,8,2,10,,,,,,,,unresolved,32,Kashmiri Gate Chowk Boulevard Road,4,14,18,,,unresolved,
33,Burari Chowk,Outer Ring Road,12,4,16,2024,true,false,,,,false,,,,false,,,,true,6,3,9,false,,,,true,4,3,7,,,28.74,77.195,660.4,277.3,North,matched to 2023 geocoded zone by name,33,Burari Chowk,4,12,16,28.74,77.195,matched to 2023 geocoded zone by name,
34,Adarsh Nagar,GTK Road,12,4,16,2024,false,true,6,4,10,false,,,,true,3,3,6,false,,,,false,,,,true,5,3,8,,,28.716,77.172,624.2,320.4,North-West,matched to 2023 geocoded zone by name,34,Adarsh Nagar,4,12,16,28.716,77.172,matched to 2023 geocoded zone by name,
35,Chhatra Marg Crossing,Ring Road,12,4,16,2024,false,true,8,2,10,false,,,,false,,,,false,,,,true,9,3,12,false,,,,,,,,,,,unresolved,35,Chhatra Marg Crossing,4,12,16,,,unresolved,
36,Shastri Nagar Metro Station,Vir Banda Bairagi Marg,10,4,14,2024,true,true,5,3,8,false,,,,false,,,,true,5,3,8,true,6,3,9,false,,,,,,,,,,,unresolved,36,Shastri Nagar Metro Station,4,10,14,,,unresolved,
37,Majlis Park Metro Station,Road No.51,7,4,11,2024,false,false,,,,true,2,3,5,false,,,,false,,,,true,5,3,8,false,,,,,,,,,,,unresolved,37,Majlis Park Metro Station,4,7,11,,,unresolved,
38,Keshopur T Point,Outer Ring Road,7,4,11,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.643,77.082,482.3,451.5,West,matched to 2023 geocoded zone by name,38,Keshopur T Point,4,7,11,28.643,77.082,matched to 2023 geocoded zone by name,
39,Azad Pur Chowk,GTK Road,7,4,11,2024,true,true,6,3,9,false,,,,false,,,,true,1,3,4,false,,,,true,3,3,6,,,,,,,,unresolved,39,Azad Pur Chowk,4,7,11,,,unresolved,
40,Delhi Gate,N. Subhash Marg,6,4,10,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,4,3,7,,,28.6392084,77.2407549,732.5,458.3,Central,"OSM Nominatim (Delhi Gate, N. Subhash Marg, Delhi, India)",40,Delhi Gate,4,6,10,28.6392084,77.2407549,"OSM Nominatim (Delhi Gate, N. Subhash Marg, Delhi, India)",
41,Siraspur,GTK Road,6,4,10,2024,true,false,,,,false,,,,false,,,,true,2,3,5,false,,,,true,4,3,7,,,28.75,77.142,576.9,259.4,Outer North,matched to 2023 geocoded zone by name,41,Siraspur,4,6,10,28.75,77.142,matched to 2023 geocoded zone by name,
42,Dhaula Kuan,Ring Road,5,4,9,2024,true,false,,,,false,,,,false,,,,true,1,3,4,false,,,,true,2,3,5,,,28.592,77.162,608.4,543.1,South-West,matched to 2023 geocoded zone by name,42,Dhaula Kuan,4,5,9,28.592,77.162,matched to 2023 geocoded zone by name,
43,Monastery Ring Road,Ring Road,5,4,9,2024,false,true,5,4,9,false,,,,false,,,,false,,,,false,,,,true,0,3,3,,,,,,,,unresolved,43,Monastery Ring Road,4,5,9,,,unresolved,
44,Kingsway Camp Chowk,Ring Road,4,4,8,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,28.698,77.2,668.3,352.8,North-West,matched to 2023 geocoded zone by name,44,Kingsway Camp Chowk,4,4,8,28.698,77.2,matched to 2023 geocoded zone by name,
45,Govindpuri Metro Station,Anand Mai Marg,4,4,8,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,3,3,6,,,28.545106,77.2638852,769,627.3,South-East,"OSM Nominatim (Govindpuri Metro Station, Anand Mai Marg, Delhi, India)",45,Govindpuri Metro Station,4,4,8,28.545106,77.2638852,"OSM Nominatim (Govindpuri Metro Station, Anand Mai Marg, Delhi, India)",
46,Nangloi Metro Station,Rohtak Road,3,4,7,2024,true,false,,,,false,,,,false,,,,true,1,3,4,false,,,,true,1,4,5,,,,,,,,unresolved,46,Nangloi Metro Station,4,3,7,,,unresolved,
47,Metro Station Madipur,Rohtak Road,3,4,7,2024,false,true,3,3,6,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.679,77.118,539.1,386.9,West,matched to 2023 geocoded zone by name,47,Metro Station Madipur,4,3,7,28.679,77.118,matched to 2023 geocoded zone by name,
48,Keval Park Road No. 51,Road No. 51,2,4,6,2024,false,false,,,,true,2,4,6,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,48,Keval Park Road No. 51,4,2,6,,,unresolved,
49,Near Triveni Park Nangal Village Delhi Cantt,Pankha Road,2,4,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,49,Near Triveni Park Nangal Village Delhi Cantt,4,2,6,,,unresolved,
50,Near SDM Office Geeta Colony,Yamuna Pusta Road,1,4,5,2024,false,false,,,,true,0,3,3,false,,,,false,,,,false,,,,true,1,3,4,,,,,,,,unresolved,50,Near SDM Office Geeta Colony,4,1,5,,,unresolved,
51,Flyover Raja Ram Marg,Raja Ram Kohli Marg,1,4,5,2024,true,false,,,,false,,,,false,,,,true,0,3,3,false,,,,false,,,,,,,,,,,unresolved,51,Flyover Raja Ram Marg,4,1,5,,,unresolved,
52,Telco Gajipur,Road No.56,9,3,12,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,52,Telco Gajipur,3,9,12,,,unresolved,
53,Loni Road Crossing,Wazirabad Road,8,3,11,2024,true,false,,,,false,,,,false,,,,true,1,3,4,false,,,,false,,,,,,28.705,77.288,807,340.2,North-East,matched to 2023 geocoded zone by name,53,Loni Road Crossing,3,8,11,28.705,77.288,matched to 2023 geocoded zone by name,
54,Metro Station Dilshad Garden,G.T. Road,7,3,10,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.6757033,77.3125046,845.6,392.8,Shahdara,"OSM Nominatim (Metro Station Dilshad Garden, G.T. Road, Delhi, India)",54,Metro Station Dilshad Garden,3,7,10,28.6757033,77.3125046,"OSM Nominatim (Metro Station Dilshad Garden, G.T. Road, Delhi, India)",
55,Hamdard Nagar Red Light,Mehrauli Badarpur Road,7,3,10,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,,,,,,unresolved,55,Hamdard Nagar Red Light,3,7,10,,,unresolved,
56,Uttam Nagar,Najafgarh Road,7,3,10,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.621,77.065,455.6,491,Dwarka,matched to 2023 geocoded zone by name,56,Uttam Nagar,3,7,10,28.621,77.065,matched to 2023 geocoded zone by name,
57,Radisson Hotel,NH-8,6,3,9,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.6339659,77.2171659,695.4,467.7,New Delhi,"OSM Nominatim (Radisson Hotel, NH-8, Delhi, India)",57,Radisson Hotel,3,6,9,28.6339659,77.2171659,"OSM Nominatim (Radisson Hotel, NH-8, Delhi, India)",
58,District Center Janakpuri,Najafgarh Road,6,3,9,2024,true,false,,,,false,,,,false,,,,true,1,3,4,false,,,,false,,,,,,28.629,77.078,476,476.7,West,matched to 2023 geocoded zone by name,58,District Center Janakpuri,3,6,9,28.629,77.078,matched to 2023 geocoded zone by name,
59,Udyog Nagar,Rohtak Road,6,3,9,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,28.682,77.08,479.2,381.5,Outer,matched to 2023 geocoded zone by name,59,Udyog Nagar,3,6,9,28.682,77.08,matched to 2023 geocoded zone by name,
60,Sai Baba Mandir Najafgarh,Najafgarh Road,6,3,9,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.6138639,77.0005506,354,503.8,Dwarka,"OSM Nominatim (Sai Baba Mandir Najafgarh, Najafgarh Road, Delhi, India)",60,Sai Baba Mandir Najafgarh,3,6,9,28.6138639,77.0005506,"OSM Nominatim (Sai Baba Mandir Najafgarh, Najafgarh Road, Delhi, India)",
61,Rama Road Crossing,Patel Road,6,3,9,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,61,Rama Road Crossing,3,6,9,,,unresolved,
62,C-1 Janakpuri,Pankha Road,6,3,9,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.6174335,77.0785095,476.8,497.4,West,"OSM Nominatim (C-1 Janakpuri, Pankha Road, Delhi, India)",62,C-1 Janakpuri,3,6,9,28.6174335,77.0785095,"OSM Nominatim (C-1 Janakpuri, Pankha Road, Delhi, India)",
63,Ghewra More,Rohtak Road,5,3,8,2024,false,true,0,3,3,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,63,Ghewra More,3,5,8,,,unresolved,
64,Deepali Chowk,Outer Ring Road,5,3,8,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.698,77.121,543.8,352.8,Outer,matched to 2023 geocoded zone by name,64,Deepali Chowk,3,5,8,28.698,77.121,matched to 2023 geocoded zone by name,
65,CRPF Camp Sonia Vihar,Pusta Road,5,3,8,2024,true,false,,,,false,,,,false,,,,true,0,3,3,false,,,,true,4,3,7,,,,,,,,unresolved,65,CRPF Camp Sonia Vihar,3,5,8,,,unresolved,
66,Budhpur Ganda Nala/Hanuman Mandir Budhpur,GTK Road,5,3,8,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,,,,,,unresolved,66,Budhpur Ganda Nala/Hanuman Mandir Budhpur,3,5,8,,,unresolved,
67,Sai Baba Mandir NH-1,GTK Road,4,3,7,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.741,77.157,600.5,275.5,Outer North,matched to 2023 geocoded zone by name,67,Sai Baba Mandir NH-1,3,4,7,28.741,77.157,matched to 2023 geocoded zone by name,
68,Khichadi Pur,NH-24,4,3,7,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,68,Khichadi Pur,3,4,7,,,unresolved,
69,Kirari More,Rohtak Road,4,3,7,2024,true,false,,,,false,,,,false,,,,true,0,3,3,false,,,,false,,,,,,,,,,,unresolved,69,Kirari More,3,4,7,,,unresolved,
70,Jharera Village,NH-8,4,3,7,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,28.5794187,77.1450622,581.7,565.7,South-West,"OSM Nominatim (Jharera Village, NH-8, Delhi, India)",70,Jharera Village,3,4,7,28.5794187,77.1450622,"OSM Nominatim (Jharera Village, NH-8, Delhi, India)",
71,Wazir Pur Depot,Ring Road,4,3,7,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,28.693,77.152,592.7,361.7,North-West,matched to 2023 geocoded zone by name,71,Wazir Pur Depot,3,4,7,28.693,77.152,matched to 2023 geocoded zone by name,
72,Under Pass Gajipur,NH-24,4,3,7,2024,true,false,,,,true,2,3,5,false,,,,true,2,3,5,false,,,,false,,,,,,,,,,,unresolved,72,Under Pass Gajipur,3,4,7,,,unresolved,
73,Hilton Hotel,Noida Link Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.5279835,77.2174969,695.9,658.1,South,"OSM Nominatim (Hilton Hotel, Noida Link Road, Delhi, India)",73,Hilton Hotel,3,3,6,28.5279835,77.2174969,"OSM Nominatim (Hilton Hotel, Noida Link Road, Delhi, India)",
74,Ram Charan Aggarwal Chowk,BSZ Marg,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,74,Ram Charan Aggarwal Chowk,3,3,6,,,unresolved,
